"filename", "language", "C#", "JSON", "comment", "blank", "total"
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\PermanentSkinInjesterTests.cs", "C#", 167, 0, 2, 27, 196
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\PermanentSkinsDatabaseTests.cs", "C#", 122, 0, 0, 17, 139
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\PrefabIconGeneratorTests.cs", "C#", 75, 0, 0, 16, 91
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\RawModelLoaderTests.cs", "C#", 68, 0, 0, 8, 76
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\SkinPrefabGeneratorTests.cs", "C#", 121, 0, 0, 20, 141
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Crossbow\ModernCarbonTinted\injestData.json", "JSON", 0, 4, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Crossbow\ModernCarbon\injestData.json", "JSON", 0, 4, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Crossbow\ModernRedWoodGold\injestData.json", "JSON", 0, 4, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Crossbow\ModernRedWood\injestData.json", "JSON", 0, 4, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Crossbow\RedWood\injestData.json", "JSON", 0, 4, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Crossbow\Wood\injestData.json", "JSON", 0, 4, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\FullInjestSet\Crossbow\DataUpdate\injestData.json", "JSON", 0, 4, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\FullInjestSet\Crossbow\ModelAndDataUpdates\injestData.json", "JSON", 0, 4, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\FullInjestSet\Crossbow\ModelUpdate\injestData.json", "JSON", 0, 4, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\InjestSetWithUpdates\Crossbow\DataUpdate\injestData.json", "JSON", 0, 4, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\InjestSetWithUpdates\Crossbow\ModelAndDataUpdates\injestData.json", "JSON", 0, 4, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Projectiles\Arrow\injestData.json", "JSON", 0, 4, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Projectiles\Bolt\injestData.json", "JSON", 0, 4, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Projectiles\fork\injestData.json", "JSON", 0, 4, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetCreationTests\TestAssets\Projectiles\pencil\injestData.json", "JSON", 0, 4, 0, 0, 4
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\AssetMaker.cs", "C#", 67, 0, 3, 14, 84
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\BaseSkinData.cs", "C#", 41, 0, 8, 6, 55
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\Crossbow\CrossbowAssetMaker.cs", "C#", 33, 0, 0, 6, 39
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\Crossbow\CrossbowSkinData.cs", "C#", 54, 0, 0, 9, 63
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\Crossbow\CrossbowSkinInjester.cs", "C#", 35, 0, 0, 7, 42
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\EditorSkinInjester.cs", "C#", 16, 0, 6, 6, 28
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\EditorSkinInjesterInspector.cs", "C#", 20, 0, 0, 4, 24
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\ISkinData.cs", "C#", 23, 0, 0, 3, 26
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\ISkinPrefabGenerator.cs", "C#", 27, 0, 0, 5, 32
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\Iconizer.cs", "C#", 53, 0, 0, 10, 63
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\InjestDataEnricher.cs", "C#", 44, 0, 0, 8, 52
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\InjestData\BasicInjestData.cs", "C#", 18, 0, 0, 3, 21
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\InjestData\CrossbowInjestData.cs", "C#", 8, 0, 0, 1, 9
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\InjestData\ProjectileInjestData.cs", "C#", 8, 0, 0, 1, 9
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\PrefabIconGenerator.cs", "C#", 24, 0, 0, 5, 29
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\Projectile\BundleProjectilePrefabGenerator.cs", "C#", 72, 0, 1, 10, 83
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\Projectile\ProjectileAssetMaker.cs", "C#", 33, 0, 0, 6, 39
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\Projectile\ProjectileSkinData.cs", "C#", 54, 0, 0, 9, 63
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\Projectile\ProjectileSkinInjester.cs", "C#", 35, 0, 0, 7, 42
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\RawModelLoader.cs", "C#", 51, 0, 0, 11, 62
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\SkinInjester copy.cs", "C#", 14, 0, 0, 1, 15
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\SkinInjester.cs", "C#", 42, 0, 0, 8, 50
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\SkinPackage.cs", "C#", 18, 0, 0, 2, 20
"c:\Unity\ArrowsDemo\Assets\Code\Asset Scripts\Asset Creation\SkinPrefabGenerator.cs", "C#", 58, 0, 1, 10, 69
